n,bits,mitigation,checksum_mode,action,fault_op,fault_site,stage,slot,bit,seed,returncode,execution_valid,fault_injections,fault_observed,golden_match,detected,corrected,max_abs_error,mean_abs_error,rms_error,relative_l2_error,snr_db,checks_performed,check_failures,stage_checks,stage_failures,s1_failures,s2_failures,recomputations,elapsed_ntt_ns,mitigation_time_ns,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,33,8,1,0,PASS,1,PASS,FAIL,yes,no,4.73967364e2,2.41521110e2,2.68508761e2,8.37139104e1,-38.45595258,1152,1,0,0,0,0,0,311667 ns,278663,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,33,24,1,0,PASS,1,PASS,FAIL,yes,no,4.87126514e2,2.29179423e2,2.60053361e2,8.10777409e1,-38.17803279,1152,1,0,0,0,0,0,313082 ns,280253,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,33,26,1,0,PASS,1,PASS,FAIL,yes,no,8.31900092e2,2.39721200e2,2.93895991e2,9.16289756e1,-39.24065663,1152,1,0,0,0,0,0,310459 ns,279131,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,35,0,1,0,PASS,1,PASS,FAIL,yes,no,7.44116283e2,2.51183209e2,2.92660908e2,9.12439092e1,-39.20407768,1152,1,0,0,0,0,0,127294 ns,114751,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,35,8,1,0,PASS,1,PASS,FAIL,yes,no,8.38597284e2,3.02556597e2,3.40882175e2,1.06278022e2,-40.52886923,1152,1,0,0,0,0,0,311209 ns,279750,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,35,24,1,0,PASS,1,PASS,FAIL,yes,no,4.89442322e2,2.59310936e2,2.89986495e2,9.04100984e1,-39.12433883,1152,1,0,0,0,0,0,310917 ns,279584,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,35,26,1,0,PASS,1,PASS,FAIL,yes,no,5.67390758e2,2.75971847e2,3.15208094e2,9.82735240e1,-39.84873059,1152,1,0,0,0,0,0,310417 ns,278584,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,38,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,393752 ns,340669,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,38,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,311458 ns,279752,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,38,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,313000 ns,281415,1152,1152,2432,2816,2816
