n,bits,scale_bits,ntt_impl,fault_enabled,fault_op,fault_operand,fault_site,fault_stage,fault_slot,fault_bit,mitigation,mitigation_action,checksum_mode,command,returncode,execution_valid,fault_injections,golden_match,fault_observed,detected,corrected,rms_error,relative_l2_error,max_abs_error,mean_abs_error,snr_db,elapsed_ntt_ns,scratch_bytes,checks_performed,check_failures,stage_checks,stage_failures,s1_failures,s2_failures,recomputations,mitigation_time_ns,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes,stderr_tail
64,28,10,radix2,true,ntt,a,mul-output,3,28,24,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site mul-output --fault-stage 3 --fault-slot 28 --fault-bit 24,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,429375,512,1152,1,0,0,0,0,1,385037,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,mul-output,3,28,26,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site mul-output --fault-stage 3 --fault-slot 28 --fault-bit 26,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,416125,512,1152,1,0,0,0,0,1,376332,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,mul-output,3,29,0,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site mul-output --fault-stage 3 --fault-slot 29 --fault-bit 0,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,421042,512,1152,1,0,0,0,0,1,381204,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,mul-output,3,29,8,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site mul-output --fault-stage 3 --fault-slot 29 --fault-bit 8,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,438791,512,1152,1,0,0,0,0,1,390249,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,mul-output,3,29,24,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site mul-output --fault-stage 3 --fault-slot 29 --fault-bit 24,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,432915,512,1152,1,0,0,0,0,1,385129,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,mul-output,3,29,26,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site mul-output --fault-stage 3 --fault-slot 29 --fault-bit 26,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,444540,512,1152,1,0,0,0,0,1,399879,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,mul-output,3,30,0,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site mul-output --fault-stage 3 --fault-slot 30 --fault-bit 0,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,429460,512,1152,1,0,0,0,0,1,381126,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,mul-output,3,30,8,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site mul-output --fault-stage 3 --fault-slot 30 --fault-bit 8,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,431875,512,1152,1,0,0,0,0,1,385833,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,mul-output,3,30,24,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site mul-output --fault-stage 3 --fault-slot 30 --fault-bit 24,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,475335,512,1152,1,0,0,0,0,1,428835,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,mul-output,3,30,26,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site mul-output --fault-stage 3 --fault-slot 30 --fault-bit 26,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,426625,512,1152,1,0,0,0,0,1,383456,1152,1152,2432,2816,2816,
