n,bits,mitigation,action,repeat,elapsed_ntt_ns,mitigation_time_ns,checks_performed,check_failures,stage_checks,stage_failures,recomputations,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
2048,28,stage-checksum,recompute,15,7202084 ns,6964292,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,16,7270042 ns,7049126,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,17,7110917 ns,6881879,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,18,7127415 ns,6892080,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,19,7305499 ns,7067877,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,20,7161999 ns,6935372,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,21,7144874 ns,6908875,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,22,7106959 ns,6887423,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,23,7133666 ns,6898711,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,24,7290249 ns,7063289,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,25,7137373 ns,6905125,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,26,7123916 ns,6890712,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,27,7150916 ns,6922622,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,28,7162584 ns,6925210,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,29,7145833 ns,6914749,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,30,7144376 ns,6914668,66,0,66,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,1,6758291 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,2,6732458 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,3,6751374 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,4,6732542 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,5,6738208 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,6,6890209 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,7,6731042 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,8,6729875 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,9,6758957 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,10,6725002 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,11,6729291 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,12,6748583 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,13,6737292 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,14,6695584 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,15,6721041 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,16,6733418 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,17,6731542 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,18,6705875 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,19,6750124 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
